,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,0.01,0.011666666666666667,0.19,0.06000000000000001,0.01,0.0,0.05,0.016666666666666666,0.03,0.01,0.01
1,0.01,0.01,0.02,0.04,0.07,0.03,0.0,0.01,0.0,0.0,0.02
2,0.01,0.03,0.055,0.18566666666666667,0.04333333333333333,0.02,0.0,0.0,0.0,0.0,0.0
3,0.0,0.06,0.13,0.04,0.2,0.37,0.0,0.0,0.0,0.0,0.0
4,0.01,0.06666666666666667,0.023333333333333334,0.025,0.135,0.03,0.07,0.02,0.0,0.0,0.01
5,0.01,0.0,0.08,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.04
6,0.0,0.0,0.01,0.03,0.02,0.01,0.0,0.02,0.0,0.0,0.0
7,0.0,0.0,0.03,0.006666666666666666,0.0475,0.09,0.0,0.0,0.0,0.0,0.01
8,0.0,0.085,0.16,0.09333333333333332,0.05,0.02,0.03,0.02,0.02,0.01,0.0
9,0.01,0.07,0.10333333333333333,0.07333333333333333,0.03,0.05,0.01,0.01,0.01,0.09,0.0
10,0.0,0.0,0.0,0.0,0.07,0.1,0.0,0.01,0.0,0.0,0.0
11,0.01,0.044000000000000004,0.10333333333333333,0.06,0.05,0.01,0.0,0.01,0.03,0.01,0.0
12,0.05,0.055,0.19333333333333333,0.1728333333333333,0.19916666666666663,0.095,0.03,0.025,0.11,0.0,0.03
13,0.01,0.02,0.1,0.01,0.04,0.01,0.0,0.0,0.0,0.0,0.02
14,0.0,0.0,0.0,0.0,0.06333333333333334,0.07,0.10333333333333332,0.01,0.0,0.0,0.0
15,0.0,0.0025,0.039,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0
16,0.0,0.0,0.07,0.01,0.09,0.07,0.0,0.05,0.0,0.02,0.0
17,0.0,0.0,0.04,0.01,0.48,0.1775,0.0,0.02,0.0,0.0,0.0
18,0.02,0.01,0.07333333333333333,0.075,0.16,0.03,0.01,0.03,0.0,0.0,0.02
19,0.02,0.01,0.05,0.01,0.13,0.09,0.0,0.08,0.0,0.01,0.04
20,0.006666666666666666,0.34,0.026666666666666665,0.1375,0.015,0.0,0.02,0.006666666666666666,0.06,0.02,0.02
21,0.01,0.01,0.02,0.0,0.45,0.46,0.0,0.01,0.0,0.0,0.0
22,0.01,0.07,0.18,0.1075,0.14,0.12,0.0,0.02,0.01,0.03,0.01
23,0.0,0.02,0.2975,0.06,0.05,0.01,0.02,0.01,0.0,0.01,0.07
24,0.02,0.0,0.07,0.05,0.08,0.06,0.01,0.04,0.04,0.04,0.06
25,0.04,0.04,0.16666666666666663,0.05333333333333333,0.052000000000000005,0.02,0.0,0.07666666666666666,0.01,0.03,0.02
26,0.0,0.03,0.045,0.04,0.03,0.0,0.01,0.03,0.0,0.0,0.03
27,0.01,0.02,0.06,0.07,0.02,0.02,0.0,0.02,0.01,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
29,0.0,0.03,0.325,0.06333333333333334,0.04,0.0,0.0,0.0,0.01,0.0,0.02
30,0.0,0.0,0.04,0.01,0.63,0.17,0.0,0.0,0.0,0.0,0.0
